Soil Type, Ac 1800h/a,Mean AC 1800h/a,Unit, Ac 2400h/a,Mean AC 2400h/a,Unit
dry sand gravel,9–12,10.5,W/m2,6–10,8,W/m2
wet sand gravel,15–20,17.5,W/m2,12–16,14,W/m2
dry clay loam,20–25,22.5,W/m2,15–20,17.5,W/m2
wet clay loam,25–30,27.5,W/m2,20–24,22,W/m2
water-bearing soil,30–40,35,W/m2,25–32,28.5,W/m2
